"";"Leto";"Regija";"Starost";"Spol";"Placa"
"394";2010;"Obalno-kraška";"35-44 let";"Ženske";1535
"395";2010;"Obalno-kraška";"45-54 let";"Moški";1725
"396";2010;"Obalno-kraška";"45-54 let";"Ženske";1580
"397";2010;"Obalno-kraška";"55-64 let";"Moški";1887
"398";2010;"Obalno-kraška";"55-64 let";"Ženske";1904
"399";2010;"Obalno-kraška";"65 let ali veè";"Moški";3389
"400";2011;"Pomurska";"15-24 let";"Moški";996
"401";2011;"Pomurska";"15-24 let";"Ženske";946
"402";2011;"Pomurska";"25-34 let";"Moški";1250
"403";2011;"Pomurska";"25-34 let";"Ženske";1220
"404";2011;"Pomurska";"35-44 let";"Moški";1436
"405";2011;"Pomurska";"35-44 let";"Ženske";1352
"406";2011;"Pomurska";"45-54 let";"Moški";1489
"407";2011;"Pomurska";"45-54 let";"Ženske";1463
"408";2011;"Pomurska";"55-64 let";"Moški";1640
"409";2011;"Pomurska";"55-64 let";"Ženske";1858
"410";2011;"Pomurska";"65 let ali veè";"Moški";3803
"411";2011;"Podravska";"15-24 let";"Moški";995
"412";2011;"Podravska";"15-24 let";"Ženske";956
"413";2011;"Podravska";"25-34 let";"Moški";1312
"414";2011;"Podravska";"25-34 let";"Ženske";1258
"415";2011;"Podravska";"35-44 let";"Moški";1568
"416";2011;"Podravska";"35-44 let";"Ženske";1441
"417";2011;"Podravska";"45-54 let";"Moški";1593
"418";2011;"Podravska";"45-54 let";"Ženske";1511
"419";2011;"Podravska";"55-64 let";"Moški";1830
"420";2011;"Podravska";"55-64 let";"Ženske";1891
"421";2011;"Podravska";"65 let ali veè";"Moški";4162
"422";2011;"Podravska";"65 let ali veè";"Ženske";3811
"423";2011;"Koroška";"15-24 let";"Moški";1078
"424";2011;"Koroška";"15-24 let";"Ženske";951
"425";2011;"Koroška";"25-34 let";"Moški";1306
"426";2011;"Koroška";"25-34 let";"Ženske";1194
"427";2011;"Koroška";"35-44 let";"Moški";1536
"428";2011;"Koroška";"35-44 let";"Ženske";1437
"429";2011;"Koroška";"45-54 let";"Moški";1582
"430";2011;"Koroška";"45-54 let";"Ženske";1523
"431";2011;"Koroška";"55-64 let";"Moški";1786
"432";2011;"Koroška";"55-64 let";"Ženske";1918
"433";2011;"Koroška";"65 let ali veè";"Moški";3768
"434";2011;"Savinjska";"15-24 let";"Moški";1037
"435";2011;"Savinjska";"15-24 let";"Ženske";994
"436";2011;"Savinjska";"25-34 let";"Moški";1329
"437";2011;"Savinjska";"25-34 let";"Ženske";1248
"438";2011;"Savinjska";"35-44 let";"Moški";1548
"439";2011;"Savinjska";"35-44 let";"Ženske";1401
"440";2011;"Savinjska";"45-54 let";"Moški";1612
"441";2011;"Savinjska";"45-54 let";"Ženske";1463
"442";2011;"Savinjska";"55-64 let";"Moški";1822
"443";2011;"Savinjska";"55-64 let";"Ženske";1826
"444";2011;"Savinjska";"65 let ali veè";"Moški";3863
"445";2011;"Zasavska";"15-24 let";"Moški";1040
"446";2011;"Zasavska";"15-24 let";"Ženske";960
"447";2011;"Zasavska";"25-34 let";"Moški";1319
"448";2011;"Zasavska";"25-34 let";"Ženske";1272
"449";2011;"Zasavska";"35-44 let";"Moški";1627
"450";2011;"Zasavska";"35-44 let";"Ženske";1425
"451";2011;"Zasavska";"45-54 let";"Moški";1629
"452";2011;"Zasavska";"45-54 let";"Ženske";1462
"453";2011;"Zasavska";"55-64 let";"Moški";1825
"454";2011;"Zasavska";"55-64 let";"Ženske";1795
"455";2011;"Posavska";"15-24 let";"Moški";1064
"456";2011;"Posavska";"15-24 let";"Ženske";1000
"457";2011;"Posavska";"25-34 let";"Moški";1341
"458";2011;"Posavska";"25-34 let";"Ženske";1310
"459";2011;"Posavska";"35-44 let";"Moški";1526
"460";2011;"Posavska";"35-44 let";"Ženske";1425
"461";2011;"Posavska";"45-54 let";"Moški";1616
"462";2011;"Posavska";"45-54 let";"Ženske";1479
