"";"LETO";"STATISTICNA_REGIJA";"SPOL";"STAROST";"PLACE"
"360";2011;"Pomurska";"ženske";"15-24";946
"361";2011;"Pomurska";"ženske";"25-34";1220
"362";2011;"Pomurska";"ženske";"35-44";1352
"363";2011;"Pomurska";"ženske";"45-54";1463
"364";2011;"Pomurska";"ženske";"55-64";1858
"365";2012;"Pomurska";"ženske";"Skupaj";1372
"366";2012;"Pomurska";"ženske";"15-64";1371
"367";2012;"Pomurska";"ženske";"15-24";938
"368";2012;"Pomurska";"ženske";"25-34";1226
"369";2012;"Pomurska";"ženske";"35-44";1352
"370";2012;"Pomurska";"ženske";"45-54";1426
"371";2012;"Pomurska";"ženske";"55-64";1779
"372";2013;"Pomurska";"ženske";"Skupaj";1354
"373";2013;"Pomurska";"ženske";"15-64";1354
"374";2013;"Pomurska";"ženske";"15-24";926
"375";2013;"Pomurska";"ženske";"25-34";1206
"376";2013;"Pomurska";"ženske";"35-44";1331
"377";2013;"Pomurska";"ženske";"45-54";1400
"378";2013;"Pomurska";"ženske";"55-64";1687
"379";2014;"Pomurska";"ženske";"Skupaj";1422
"380";2014;"Pomurska";"ženske";"15-64";1421
"381";2014;"Pomurska";"ženske";"15-24";948
"382";2014;"Pomurska";"ženske";"25-34";1207
"383";2014;"Pomurska";"ženske";"35-44";1390
"384";2014;"Pomurska";"ženske";"45-54";1498
"385";2014;"Pomurska";"ženske";"55-64";1735
"386";2015;"Pomurska";"ženske";"Skupaj";1424
"387";2015;"Pomurska";"ženske";"15-64";NA
"388";2015;"Pomurska";"ženske";"15-24";NA
"389";2015;"Pomurska";"ženske";"25-34";1215
"390";2015;"Pomurska";"ženske";"35-44";1400
"391";2015;"Pomurska";"ženske";"45-54";1478
"392";2015;"Pomurska";"ženske";"55-64";1702
"393";2016;"Pomurska";"ženske";"Skupaj";1420
"394";2016;"Pomurska";"ženske";"15-64";NA
"395";2016;"Pomurska";"ženske";"15-24";NA
"396";2016;"Pomurska";"ženske";"25-34";1225
"397";2016;"Pomurska";"ženske";"35-44";1400
"398";2016;"Pomurska";"ženske";"45-54";1436
"399";2016;"Pomurska";"ženske";"55-64";1714
"400";2017;"Pomurska";"ženske";"Skupaj";1454
"401";2017;"Pomurska";"ženske";"15-64";NA
"402";2017;"Pomurska";"ženske";"15-24";NA
"403";2017;"Pomurska";"ženske";"25-34";1245
"404";2017;"Pomurska";"ženske";"35-44";1441
"405";2017;"Pomurska";"ženske";"45-54";1464
"406";2017;"Pomurska";"ženske";"55-64";1714
"407";2018;"Pomurska";"ženske";"Skupaj";1492
"408";2018;"Pomurska";"ženske";"15-64";NA
"409";2018;"Pomurska";"ženske";"15-24";NA
"410";2018;"Pomurska";"ženske";"25-34";1285
"411";2018;"Pomurska";"ženske";"35-44";1486
"412";2018;"Pomurska";"ženske";"45-54";1498
"413";2018;"Pomurska";"ženske";"55-64";1734
"414";2019;"Pomurska";"ženske";"Skupaj";1586
"415";2019;"Pomurska";"ženske";"15-64";1583
"416";2019;"Pomurska";"ženske";"15-24";1098
"417";2019;"Pomurska";"ženske";"25-34";1367
"418";2019;"Pomurska";"ženske";"35-44";1556
"419";2019;"Pomurska";"ženske";"45-54";1616
"420";2019;"Pomurska";"ženske";"55-64";1836
"421";2008;"Pomurska";"Skupaj";"Skupaj";1200
"422";2008;"Pomurska";"Skupaj";"15-64";1199
"423";2008;"Pomurska";"Skupaj";"15-24";883
"424";2008;"Pomurska";"Skupaj";"25-34";1122
"425";2008;"Pomurska";"Skupaj";"35-44";1189
"426";2008;"Pomurska";"Skupaj";"45-54";1260
"427";2008;"Pomurska";"Skupaj";"55-64";1437
"428";2009;"Pomurska";"Skupaj";"Skupaj";1324
"429";2009;"Pomurska";"Skupaj";"15-64";1322
"430";2009;"Pomurska";"Skupaj";"15-24";902
"431";2009;"Pomurska";"Skupaj";"25-34";1167
"432";2009;"Pomurska";"Skupaj";"35-44";1340
"433";2009;"Pomurska";"Skupaj";"45-54";1430
"434";2009;"Pomurska";"Skupaj";"55-64";1609
"435";2010;"Pomurska";"Skupaj";"Skupaj";1343
"436";2010;"Pomurska";"Skupaj";"15-64";1342
"437";2010;"Pomurska";"Skupaj";"15-24";928
"438";2010;"Pomurska";"Skupaj";"25-34";1198
"439";2010;"Pomurska";"Skupaj";"35-44";1337
"440";2010;"Pomurska";"Skupaj";"45-54";1432
"441";2010;"Pomurska";"Skupaj";"55-64";1696
"442";2011;"Pomurska";"Skupaj";"Skupaj";1397
"443";2011;"Pomurska";"Skupaj";"15-64";1396
"444";2011;"Pomurska";"Skupaj";"15-24";983
"445";2011;"Pomurska";"Skupaj";"25-34";1238
"446";2011;"Pomurska";"Skupaj";"35-44";1396
"447";2011;"Pomurska";"Skupaj";"45-54";1476
"448";2011;"Pomurska";"Skupaj";"55-64";1704
"449";2012;"Pomurska";"Skupaj";"Skupaj";1403
"450";2012;"Pomurska";"Skupaj";"15-64";1402
"451";2012;"Pomurska";"Skupaj";"15-24";981
"452";2012;"Pomurska";"Skupaj";"25-34";1249
"453";2012;"Pomurska";"Skupaj";"35-44";1405
"454";2012;"Pomurska";"Skupaj";"45-54";1467
"455";2012;"Pomurska";"Skupaj";"55-64";1693
"456";2013;"Pomurska";"Skupaj";"Skupaj";1390
"457";2013;"Pomurska";"Skupaj";"15-64";1389
"458";2013;"Pomurska";"Skupaj";"15-24";986
"459";2013;"Pomurska";"Skupaj";"25-34";1231
"460";2013;"Pomurska";"Skupaj";"35-44";1391
"461";2013;"Pomurska";"Skupaj";"45-54";1442
"462";2013;"Pomurska";"Skupaj";"55-64";1647
"463";2014;"Pomurska";"Skupaj";"Skupaj";1454
"464";2014;"Pomurska";"Skupaj";"15-64";1452
"465";2014;"Pomurska";"Skupaj";"15-24";997
"466";2014;"Pomurska";"Skupaj";"25-34";1251
"467";2014;"Pomurska";"Skupaj";"35-44";1456
"468";2014;"Pomurska";"Skupaj";"45-54";1527
"469";2014;"Pomurska";"Skupaj";"55-64";1697
"470";2015;"Pomurska";"Skupaj";"Skupaj";1459
"471";2015;"Pomurska";"Skupaj";"15-64";1457
"472";2015;"Pomurska";"Skupaj";"15-24";1022
"473";2015;"Pomurska";"Skupaj";"25-34";1263
"474";2015;"Pomurska";"Skupaj";"35-44";1465
"475";2015;"Pomurska";"Skupaj";"45-54";1520
"476";2015;"Pomurska";"Skupaj";"55-64";1674
"477";2016;"Pomurska";"Skupaj";"Skupaj";1483
"478";2016;"Pomurska";"Skupaj";"15-64";1480
"479";2016;"Pomurska";"Skupaj";"15-24";1033
"480";2016;"Pomurska";"Skupaj";"25-34";1287
"481";2016;"Pomurska";"Skupaj";"35-44";1490
"482";2016;"Pomurska";"Skupaj";"45-54";1522
"483";2016;"Pomurska";"Skupaj";"55-64";1711
"484";2017;"Pomurska";"Skupaj";"Skupaj";1520
"485";2017;"Pomurska";"Skupaj";"15-64";1517
"486";2017;"Pomurska";"Skupaj";"15-24";1078
"487";2017;"Pomurska";"Skupaj";"25-34";1316
"488";2017;"Pomurska";"Skupaj";"35-44";1536
